Temperature - (Celsius), Year, Month, Country, ISO3
-14.368, 1920, May, Greenland, GRL
-5.9676, 1920, Jun, Greenland, GRL
-3.5611, 1920, Jul, Greenland, GRL
-6.5564, 1920, Aug, Greenland, GRL
-13.71, 1920, Sep, Greenland, GRL
-19.411, 1920, Oct, Greenland, GRL
-26.001, 1920, Nov, Greenland, GRL
-26.317, 1920, Dec, Greenland, GRL
-27.994, 1921, Jan, Greenland, GRL
-30.168, 1921, Feb, Greenland, GRL
-30.032, 1921, Mar, Greenland, GRL
-24.391, 1921, Apr, Greenland, GRL
-13.965, 1921, May, Greenland, GRL
-6.3808, 1921, Jun, Greenland, GRL
-3.3391, 1921, Jul, Greenland, GRL
-5.6007, 1921, Aug, Greenland, GRL
-14.369, 1921, Sep, Greenland, GRL
-21.425, 1921, Oct, Greenland, GRL
-23.536, 1921, Nov, Greenland, GRL
-26.777, 1921, Dec, Greenland, GRL
-24.755, 1922, Jan, Greenland, GRL
-31.365, 1922, Feb, Greenland, GRL
-29.02, 1922, Mar, Greenland, GRL
-22.447, 1922, Apr, Greenland, GRL
-14.682, 1922, May, Greenland, GRL
-6.9928, 1922, Jun, Greenland, GRL
-3.4044, 1922, Jul, Greenland, GRL
-6.32, 1922, Aug, Greenland, GRL
-14.409, 1922, Sep, Greenland, GRL
-19.261, 1922, Oct, Greenland, GRL
-24.071, 1922, Nov, Greenland, GRL
-25.725, 1922, Dec, Greenland, GRL
-28.708, 1923, Jan, Greenland, GRL
-26.181, 1923, Feb, Greenland, GRL
-27.911, 1923, Mar, Greenland, GRL
-19.657, 1923, Apr, Greenland, GRL
-12.678, 1923, May, Greenland, GRL
-5.9821, 1923, Jun, Greenland, GRL
-2.9628, 1923, Jul, Greenland, GRL
-5.7929, 1923, Aug, Greenland, GRL
-13.536, 1923, Sep, Greenland, GRL
-19.236, 1923, Oct, Greenland, GRL
-24.1, 1923, Nov, Greenland, GRL
-25.925, 1923, Dec, Greenland, GRL
-23.824, 1924, Jan, Greenland, GRL
-28.013, 1924, Feb, Greenland, GRL
-28.925, 1924, Mar, Greenland, GRL
-21.522, 1924, Apr, Greenland, GRL
-12.029, 1924, May, Greenland, GRL
-5.329, 1924, Jun, Greenland, GRL
-3.1849, 1924, Jul, Greenland, GRL
-5.8097, 1924, Aug, Greenland, GRL
-13.784, 1924, Sep, Greenland, GRL
-19.975, 1924, Oct, Greenland, GRL
-24.819, 1924, Nov, Greenland, GRL
-26.895, 1924, Dec, Greenland, GRL
-28.191, 1925, Jan, Greenland, GRL
-26.869, 1925, Feb, Greenland, GRL
-26.461, 1925, Mar, Greenland, GRL
-22.384, 1925, Apr, Greenland, GRL
-13.5, 1925, May, Greenland, GRL
-5.5434, 1925, Jun, Greenland, GRL
-3.7918, 1925, Jul, Greenland, GRL
-5.9772, 1925, Aug, Greenland, GRL
-12.545, 1925, Sep, Greenland, GRL
-19.374, 1925, Oct, Greenland, GRL
-22.785, 1925, Nov, Greenland, GRL
-24.756, 1925, Dec, Greenland, GRL
-24.088, 1926, Jan, Greenland, GRL
-27.094, 1926, Feb, Greenland, GRL
-29.161, 1926, Mar, Greenland, GRL
-20.305, 1926, Apr, Greenland, GRL
-12.403, 1926, May, Greenland, GRL
-5.1771, 1926, Jun, Greenland, GRL
-2.2615, 1926, Jul, Greenland, GRL
-5.936, 1926, Aug, Greenland, GRL
-13.355, 1926, Sep, Greenland, GRL
-19.428, 1926, Oct, Greenland, GRL
-24.466, 1926, Nov, Greenland, GRL
-25.631, 1926, Dec, Greenland, GRL
-25.367, 1927, Jan, Greenland, GRL
-26.507, 1927, Feb, Greenland, GRL
-30.237, 1927, Mar, Greenland, GRL
-23.478, 1927, Apr, Greenland, GRL
-12.422, 1927, May, Greenland, GRL
-5.321, 1927, Jun, Greenland, GRL
-2.7614, 1927, Jul, Greenland, GRL
-5.2435, 1927, Aug, Greenland, GRL
-12.157, 1927, Sep, Greenland, GRL
-19.682, 1927, Oct, Greenland, GRL
-23.229, 1927, Nov, Greenland, GRL
-24.974, 1927, Dec, Greenland, GRL
-24.43, 1928, Jan, Greenland, GRL
-26.046, 1928, Feb, Greenland, GRL
-25.33, 1928, Mar, Greenland, GRL
-20.451, 1928, Apr, Greenland, GRL
-11.49, 1928, May, Greenland, GRL
-5.7028, 1928, Jun, Greenland, GRL
-2.4981, 1928, Jul, Greenland, GRL
-5.1803, 1928, Aug, Greenland, GRL
-11.763, 1928, Sep, Greenland, GRL
-18.326, 1928, Oct, Greenland, GRL
-23.547, 1928, Nov, Greenland, GRL
-24.826, 1928, Dec, Greenland, GRL
-22.556, 1929, Jan, Greenland, GRL
-22.266, 1929, Feb, Greenland, GRL
-25.628, 1929, Mar, Greenland, GRL
-21.642, 1929, Apr, Greenland, GRL
-12.999, 1929, May, Greenland, GRL
-5.9303, 1929, Jun, Greenland, GRL
-2.2718, 1929, Jul, Greenland, GRL
-5.8131, 1929, Aug, Greenland, GRL
-13.674, 1929, Sep, Greenland, GRL
-21.276, 1929, Oct, Greenland, GRL
-24.35, 1929, Nov, Greenland, GRL
-23.766, 1929, Dec, Greenland, GRL
-25.856, 1930, Jan, Greenland, GRL
-25.486, 1930, Feb, Greenland, GRL
-27.476, 1930, Mar, Greenland, GRL
-19.31, 1930, Apr, Greenland, GRL
-11.777, 1930, May, Greenland, GRL
-5.8418, 1930, Jun, Greenland, GRL
-2.5788, 1930, Jul, Greenland, GRL
-5.3866, 1930, Aug, Greenland, GRL
-11.741, 1930, Sep, Greenland, GRL
-19.435, 1930, Oct, Greenland, GRL
-23.564, 1930, Nov, Greenland, GRL
-24.173, 1930, Dec, Greenland, GRL
-24.162, 1931, Jan, Greenland, GRL
-27.129, 1931, Feb, Greenland, GRL
-30.68, 1931, Mar, Greenland, GRL
-21.261, 1931, Apr, Greenland, GRL
-13.254, 1931, May, Greenland, GRL
-4.8652, 1931, Jun, Greenland, GRL
-1.349, 1931, Jul, Greenland, GRL
-4.414, 1931, Aug, Greenland, GRL
-11.503, 1931, Sep, Greenland, GRL
-19.608, 1931, Oct, Greenland, GRL
-23.125, 1931, Nov, Greenland, GRL
-25.601, 1931, Dec, Greenland, GRL
